strace: option requires an argument -- 'p'
Try 'strace -h' for more information.
Picked up JAVA_TOOL_OPTIONS:  -javaagent:/home/elastic/elastic-apm-agent-1.30.1.jar -Delastic.apm.log_ecs_reformatting=OVERRIDE
[pid   209] 1652626335.432774 stat("/app/javax/jms/Message.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000025>
[pid   209] 1652626335.433391 stat("/app/javax/faces/lifecycle/Lifecycle.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.434045 stat("/app/javax/faces/lifecycle/Lifecycle.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.434690 stat("/app/jakarta/faces/lifecycle/Lifecycle.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.435270 stat("/app/jakarta/faces/lifecycle/Lifecycle.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.435915 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.436320 stat("/app/org/apache/kafka/common/header/Headers.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.436944 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.437546 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.437936 stat("/app/org/apache/kafka/common/header/Headers.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.438536 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.438898 stat("/app/org/apache/kafka/common/header/Headers.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.439617 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.439986 stat("/app/org/apache/kafka/common/header/Headers.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.440603 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.440975 stat("/app/org/apache/kafka/common/header/Headers.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.441638 stat("/app/com/lambdaworks/redis/event/EventBus.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000044>
[pid   209] 1652626335.442024 stat("/app/com/lambdaworks/redis/api/sync/RedisServerCommands.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.442676 stat("/app/com/lambdaworks/redis/event/EventBus.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.443046 stat("/app/com/lambdaworks/redis/api/sync/RedisServerCommands.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.443678 stat("/app/com/lambdaworks/redis/event/EventBus.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.444059 stat("/app/com/lambdaworks/redis/api/sync/RedisServerCommands.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.444698 stat("/app/com/lambdaworks/redis/event/EventBus.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.445062 stat("/app/com/lambdaworks/redis/api/sync/RedisServerCommands.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.446530 stat("/app/org/apache/log4j/WriterAppender.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.447118 stat("/app/org/apache/log4j/WriterAppender.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.448120 stat("/app/org/apache/logging/log4j/core/Appender.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.448717 stat("/app/org/apache/logging/log4j/core/Appender.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.449288 stat("/app/org/apache/logging/log4j/core/Appender.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.449932 stat("/app/org/apache/logging/log4j/core/impl/LogEventFactory.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.450529 stat("/app/org/apache/logging/log4j/core/impl/LogEventFactory.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.451372 stat("/app/ch/qos/logback/core/OutputStreamAppender.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000050>
[pid   209] 1652626335.451775 stat("/app/ch/qos/logback/classic/LoggerContext.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.472259 stat("/app/ch/qos/logback/core/OutputStreamAppender.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.472588 stat("/app/ch/qos/logback/classic/LoggerContext.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000040>
[pid   209] 1652626335.473534 stat("/app/org/jboss/logging/JDKLogger.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000159>
[pid   209] 1652626335.474360 stat("/app/org/jboss/logmanager/Logger.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.003364>
[pid   209] 1652626335.493386 stat("/app/com/rabbitmq/client/Channel.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.494147 stat("/app/com/rabbitmq/client/Channel.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.494909 stat("/app/com/rabbitmq/client/Channel.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.495690 stat("/app/org/springframework/amqp/core/MessageListener.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000033>
[pid   209] 1652626335.496446 stat("/app/org/springframework/amqp/core/MessageListener.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.497177 stat("/app/org/springframework/amqp/core/MessageListener.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000036>
[pid   209] 1652626335.500835 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.501223 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.502012 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.502516 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000033>
[pid   209] 1652626335.504518 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.504945 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.505755 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000035>
[pid   209] 1652626335.506215 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.507042 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.507513 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.508348 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000036>
[pid   209] 1652626335.508816 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.509718 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000063>
[pid   209] 1652626335.510224 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000033>
[pid   209] 1652626335.511105 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000035>
[pid   209] 1652626335.511582 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000033>
[pid   209] 1652626335.512400 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000035>
[pid   209] 1652626335.513055 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.513914 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000033>
[pid   209] 1652626335.514384 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000033>
[pid   209] 1652626335.515228 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.515694 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.516508 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000034>
[pid   209] 1652626335.516970 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.517845 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.013531>
[pid   209] 1652626335.531866 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000378>
[pid   209] 1652626335.536737 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000303>
[pid   209] 1652626335.537430 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.538150 stat("/app/javax/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.538549 stat("/app/javax/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.539212 stat("/app/jakarta/servlet/AsyncContext.class", 0x7feb570d8cb0) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.539601 stat("/app/jakarta/servlet/http/HttpServlet.class", 0x7feb570d8ca0) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.540736 stat("/app/org/springframework/web/method/HandlerMethod.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.543812 stat("/app/jakarta/websocket/server/ServerEndpoint.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.544563 stat("/app/javax/websocket/server/ServerEndpoint.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626335.714631 stat("/app/co/elastic/apm/agent/bbwarmup/WarmupInstrumentation$AdviceClass.class", 0x7feb570d7ac0) = -1 ENOENT (No such file or directory) <0.000032>
