key,className,methodName,methodSignature,exceptionType,exceptionIndexNumber,lineIndexNumber,countdown,rate,mode,covered,run times in normal,run times in injection,injection captured in the business log,successfully send the mail,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count,handledBy,distance,stackHeight,foPoint
C2AFFD669B7D607EBB4258DD3F3F2A36,com/hs/mail/imap/user/DefaultUserManager,login,(Ljava/lang/String;Ljava/lang/String;)J,javax/security/auth/login/LoginException,0,72,1,1,off,yes,1,1; normal: 0,-,false,-,427,11,27,com/hs/mail/imap/processor/LoginProcessor/doProcess - (Lcom/hs/mail/imap/ImapSession;Lcom/hs/mail/imap/message/request/ImapRequest;Lcom/hs/mail/imap/message/responder/Responder;)V,1,31,com/hs/mail/imap/user/DefaultUserManager/login - (Ljava/lang/String;Ljava/lang/String;)J
AB0D774B1596D2C822A9DBA091655B6D,com/hs/mail/imap/user/DefaultUserManager,login,(Ljava/lang/String;Ljava/lang/String;)J,javax/security/auth/login/LoginException,0,73,1,1,off,yes,1,1; normal: 0,-,false,-,440,11,27,com/hs/mail/imap/processor/LoginProcessor/doProcess - (Lcom/hs/mail/imap/ImapSession;Lcom/hs/mail/imap/message/request/ImapRequest;Lcom/hs/mail/imap/message/responder/Responder;)V,1,31,com/hs/mail/imap/user/DefaultUserManager/login - (Ljava/lang/String;Ljava/lang/String;)J
63C2AFD4F5CBBF9FCB98B99182104A6A,com/hs/mail/imap/user/DefaultUserManager,login,(Ljava/lang/String;Ljava/lang/String;)J,javax/security/auth/login/LoginException,0,74,1,1,off,yes,1,1; normal: 0,-,false,-,452,11,27,com/hs/mail/imap/processor/LoginProcessor/doProcess - (Lcom/hs/mail/imap/ImapSession;Lcom/hs/mail/imap/message/request/ImapRequest;Lcom/hs/mail/imap/message/responder/Responder;)V,1,31,com/hs/mail/imap/user/DefaultUserManager/login - (Ljava/lang/String;Ljava/lang/String;)J
623DA594C851646632CE6E730A6139E1,com/hs/mail/imap/user/DefaultUserManager,login,(Ljava/lang/String;Ljava/lang/String;)J,javax/security/auth/login/LoginException,0,78,1,1,off,yes,1,1; normal: 0,-,false,-,460,11,27,com/hs/mail/imap/processor/LoginProcessor/doProcess - (Lcom/hs/mail/imap/ImapSession;Lcom/hs/mail/imap/message/request/ImapRequest;Lcom/hs/mail/imap/message/responder/Responder;)V,1,31,com/hs/mail/imap/user/DefaultUserManager/login - (Ljava/lang/String;Ljava/lang/String;)J
9E2EA493BD4386BE8E2040C35275173E,com/hs/mail/imap/user/DefaultUserManager,login,(Ljava/lang/String;Ljava/lang/String;)J,javax/security/auth/login/LoginException,0,85,1,1,off,yes,1,1; normal: 0,-,false,-,483,11,27,com/hs/mail/imap/processor/LoginProcessor/doProcess - (Lcom/hs/mail/imap/ImapSession;Lcom/hs/mail/imap/message/request/ImapRequest;Lcom/hs/mail/imap/message/responder/Responder;)V,1,31,com/hs/mail/imap/user/DefaultUserManager/login - (Ljava/lang/String;Ljava/lang/String;)J
C3990C1A9E03D06B7E672494C08DE287,com/hs/mail/imap/user/DefaultUserManager,login,(Ljava/lang/String;Ljava/lang/String;)J,javax/security/auth/login/LoginException,0,90,1,1,off,yes,1,1; normal: 0,-,false,-,491,11,27,com/hs/mail/imap/processor/LoginProcessor/doProcess - (Lcom/hs/mail/imap/ImapSession;Lcom/hs/mail/imap/message/request/ImapRequest;Lcom/hs/mail/imap/message/responder/Responder;)V,1,31,com/hs/mail/imap/user/DefaultUserManager/login - (Ljava/lang/String;Ljava/lang/String;)J
AF1EB50E6C55B234178494DD32098078,com/hs/mail/mailet/DefaultMailetContext,storeMail,(JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V,java/io/IOException,0,56,1,1,off,yes,1,1; normal: 7,-,false,-,498,11,27,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,11,com/hs/mail/mailet/DefaultMailetContext/storeMail - (JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V
C98318537170A8E521A695A9B172F593,com/hs/mail/mailet/DefaultMailetContext,storeMail,(JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V,java/io/IOException,0,57,1,1,off,yes,1,1; normal: 0,-,false,-,508,11,27,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,11,com/hs/mail/mailet/DefaultMailetContext/storeMail - (JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V
E113797C303E955249E7266F92502BE8,com/hs/mail/mailet/DefaultMailetContext,storeMail,(JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V,java/io/IOException,0,58,1,1,off,yes,1,1; normal: 0,-,true,-,518,11,27,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,11,com/hs/mail/mailet/DefaultMailetContext/storeMail - (JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V
2480599F60767133927481B931B47585,com/hs/mail/mailet/DefaultMailetContext,storeMail,(JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V,java/io/IOException,0,59,1,1,off,yes,1,1; normal: 0,-,true,-,527,11,27,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,11,com/hs/mail/mailet/DefaultMailetContext/storeMail - (JLjava/lang/String;Lcom/hs/mail/smtp/message/SmtpMessage;)V
8DA966B2DC1DEC38F51D8849211040E2,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,67,1,1,off,yes,1,1; normal: 4,-,false,-,535,12,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
24E5F7BD73081FF85DBD3FA0B716FB1F,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,68,1,1,off,yes,1,1; normal: 0,-,false,-,547,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
99AD71FC62D4CDA16A8E64AA3C692B27,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,69,1,1,off,yes,1,1; normal: 1,-,true,-,557,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
28D93EC341ACEBA8BA0276E623A0AEDF,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,70,1,1,off,yes,1,1; normal: 1,-,false,-,567,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
B45687648B51833D0F0DF0D2CD62A231,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,71,1,1,off,yes,1,1; normal: 1,-,true,-,575,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
A223AD5FE5D1726D3ADD479CB6EB51B0,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,72,1,1,off,yes,1,1; normal: 1,-,true,-,583,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
8CB2728BFD3A0C8D08E847CFBDF77DBE,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,74,1,1,off,yes,1,1; normal: 1,-,true,-,594,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
CB175912E980D4C4C6BA12DC2F96A969,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,75,1,1,off,yes,1,1; normal: 0,-,false,-,601,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
FA00F118CD193202BAC3CB456BE758EB,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,89,1,1,off,yes,1,1; normal: 0,-,false,-,649,11,28,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
97543AE34475F9F38D46742E9A118B47,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,90,1,1,off,yes,1,1; normal: 0,-,false,-,657,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
