base-image:version,count
fabric8/java-alpine-openjdk8-jdk:latest,2
docker.elastic.co/logstash/logstash:${ELK_VERSION},2
maven:3.6.3-jdk-8,2
maven:3-jdk-11-slim,2
ubuntu:19.10,2
docker.io/hyperledger/fabric-peer:x86_64-1.0.6,2
alpine/git,2
adoptopenjdk/openjdk8:latest,2
pub.domeos.org/domeos/mysql:5.7,2
openjdk:8u212-jre-alpine,2
ruby:2.5-alpine,2
apache/ozone-runner:${OZONE_RUNNER_VERSION},2
ubuntu:latest,2
circleci/node:latest-browsers,2
cloudunit/base-14.04,2
adoptopenjdk/openjdk12:x86_64-alpine-jre-12.0.2_10,2
${docker.acs.image}:${alfresco.platform.version},2
${docker.share.image}:${alfresco.share.version},2
tomcat:8-jre8,2
clouthinkin/jre,2
openjdk:14-jdk-alpine3.10,2
ruby:2.3.1,2
httpd:2.4,2
debian:9-slim,2
openjdk:8u111-jre-alpine,2
alpine:3.8,2
adoptopenjdk/openjdk11:x86_64-alpine-jre-11.0.5_10,2
anapsix/alpine-java:8,2
python:2.7,2
centos:centos6.9,2
stroom-base-stage,2
openjdk:11-jdk,2
centos:centos7,2
openjdk:11-jdk-slim,2
flink:1.11.0-scala_2.11,2
${base},2
fluent/fluentd-kubernetes-daemonset:v1.4.2-debian-elasticsearch-1.1,2
java:8-alpine,2
tomcat:8,2
openjdk:alpine,2
mcr.microsoft.com/dotnet/core/sdk:3.0-buster,2
jboss/wildfly:10.1.0.Final,2
docker.io/library/node:8.11.4,2
0xacab.org:4567/leap/bitmask_android/android-sdk:latest,2
apache/bookkeeper:4.5.0,2
daocloud.io/java:8,2
python:3,2
registry:2,2
registry.access.redhat.com/rhel7:7.6,2
maven:3.6.3-jdk-11,2
eclipse/kura:develop,2
maven:3.6.1-jdk-11,2
alpine:3.11.6,2
maven,2
maven:3-alpine,2
mysql:5.5,2
openjdk:11-oracle,2
centos:8,2
python:2-alpine,2
nginx:1.17-alpine,2
maven:3,2
mysql:5.7.21,2
debian:8.11,2
docker.elastic.co/elasticsearch/elasticsearch:${ELK_VERSION},2
postgres,2
node:13.0.0-alpine,2
openzipkin/jre-full:1.8.0_212,2
nvidia/cuda:10.0-cudnn7-devel-ubuntu18.04,2
azul/zulu-openjdk:8,1
mailhog/mailhog:latest,1
python:alpine3.10,1
fnproject/fn-java-fdk:jre11-1.0.98,1
registry.opensource.zalan.do/stups/openjdk:1.8.0-191-19,1
microsoft/aspnet:windowsservercore-10.0.14393.953,1
camptocamp/tomcat-logback:8.5-jre8,1
maven:3.5.4-jdk-11-slim,1
everpeace/curl-jq,1
gcr.io/distroless/base,1
openjdk:12-alpine,1
gradle:jdk-alpine,1
--platform=$BUILDPLATFORM maven:3.6-jdk-8,1
labsai/base-image,1
kapua/kapua-console:latest,1
httpd:2.4-alpine,1
openjdk:12,1
tomee:8-jre-1.7.2-webprofile,1
dist,1
openjdk:jre,1
nvidia/cuda:8.0-cudnn6-devel-ubuntu16.04,1
puppet/puppet-agent-alpine:4.6.2,1
registry.fit2cloud.com/metersphere/fabric8-java-alpine-openjdk8-jre,1
clojure:alpine,1
azul/zulu-openjdk-alpine:14,1
eclipse/che-base:5.15.0,1
maven:3.5.3-jdk-10-slim,1
node:14,1
node:boron,1
maven:3.6.3-jdk-11-slim,1
nginx:1.13.12-alpine,1
jboss/keycloak:7.0.0,1
jimschubert/8-jdk-alpine-mvn:1.0,1
flink:1.9.0,1
grafana/grafana:5.2.4,1
hawkbit/hawkbit-update-server:0.3.0M5,1
ruby:2.6.3,1
gradle:5.6.2-jdk11,1
vmware/powerclicore,1
ruby:2.3,1
nginx:1.10.3-alpine,1
python:3.8.3-alpine3.11,1
ngb:latest,1
centos:centos6.10,1
ubuntu:rolling,1
${BUSYBOX_IMAGE},1
httpd:alpine,1
registry.cn-hangzhou.aliyuncs.com/springcloud-cn/java:openjdk-10.0.1-alpine,1
jenkins:2.60.3,1
hub.c.163.com/library/tomcat,1
maven:alpine,1
spotify/helios-solo-base:0.8,1
tomcat:8.0.30-jre8,1
tinkerpop/gremlin-console:3.4.2,1
python:3.7.3-slim-stretch,1
flink:1.10.1,1
gcr.io/distroless/java:8,1
node:8.0.0,1
jenkins4eval/jenkinsfile-runner:build-mvncache,1
golang:1.14-alpine,1
rust:1.31,1
jboss/apiman-wildfly,1
openjdk:8u232-jre-stretch,1
tfennelly/java6_dev,1
solr:7.5.0,1
${GRAALVM_IMAGE},1
maven:3.5.0-jdk-7-alpine,1
marvambass/nginx-registry-proxy,1
golang:1.9.1-alpine3.6,1
node:9.11.2-alpine,1
node:6.10.1,1
buildpack-deps:bionic-scm,1
node:9-alpine,1
adoptopenjdk/openjdk11:jre-11.0.5_10-alpine,1
hawkbit/hawkbit-update-server:0.2.0,1
java:jre-alpine,1
postgres:12.2,1
jenkins:2.46.1,1
lordofthejars/docker-tomee:8-jre-1.7.2-plus,1
ruby:2.3.0,1
openjdk:14-alpine,1
frolvlad/alpine-glibc:${alpine-glibc.image.version},1
bigtop/deploy:ubuntu-14.04,1
openjdk:8u181-jre,1
airhacks/wildfly-ping,1
gradle:5.4.0-jdk8-alpine,1
golang:1.11,1
python:2.7.16-alpine3.9,1
node:6.5.0,1
gradle:6.3.0-jdk14,1
confluentinc/cp-kafka-connect-base:4.1.2,1
solr:${solr.version},1
arm64v8/openjdk:8,1
localhost:5050/testuser/busybox:latest,1
tomcat:8-jre11-slim,1
hawkbit/hawkbit-update-server:0.2.0M4,1
golang:latest,1
debian:7.8,1
library/centos:centos7,1
openjdk:10.0.1-10-jre-slim,1
node:10.20.1-alpine3.11,1
gradle:5.4-jdk8,1
openjdk:11.0-jre,1
mariadb:10.3.3,1
hawkbit/hawkbit-update-server:0.2.4,1
selenium/standalone-firefox-debug:2.53.0,1
${JRE_IMAGE},1
{{BASE_IMAGE}},1
jenkins/jenkins:2.107.3-alpine,1
azul/zulu-openjdk-alpine:8,1
jrottenberg/ffmpeg:4.1-alpine,1
alpine:3,1
tomcat:9.0.10-jre8,1
rabbitmq,1
ibmcom/db2:11.5.0.0a,1
jenkins/jenkins:latest,1
hortonworks/hwx_openjdk:11.0-jdk-slim,1
adoptopenjdk/openjdk8-openj9:x86_64-alpine-jdk8u181-b13_openj9-0.9.0-slim,1
hub.c.163.com/library/java:8-jre-alpine,1
java:openjdk-8-jre,1
mysql:8.0,1
mcr.microsoft.com/dotnet/core/runtime:3.1-alpine,1
mongo:3,1
google/cloud-sdk:alpine,1
vmware/photon-closure-runner_python_base:2.0,1
node:12,1
sismics/jetty:9.3.11,1
mcr.microsoft.com/dotnet/core/sdk:3.1-buster,1
mysql:8.0.19,1
gradle:5.6.3-jdk12,1
maven:3.6.0-jdk-11,1
cassandra:3.7,1
openjdk:11.0.2-jre-slim-stretch,1
centos:centos7.3.1611,1
amazon/dynamodb-local:1.11.477,1
mcr.microsoft.com/dotnet/core/aspnet:2.2,1
azul/zulu-openjdk:13,1
debian:stable,1
linagora/james-jpa-guice:james-project-3.4.0,1
registry,1
openjdk:11.0.7-jre-slim-buster,1
ibmcom/db2,1
nginx:latest,1
quay.io/openshift/origin-jenkins:v4.0,1
maven:3.6.0-jdk-8,1
selenium/standalone-chrome:${SELENIUM_VERSION},1
vertx/vertx3-alpine,1
golang:1.6.1-alpine,1
fabric8/java-ubi-openjdk8-jdk:latest,1
openzipkin/zipkin-builder,1
mcr.microsoft.com/dotnet/core/sdk:2.2,1
wouterd/java8,1
node:4-onbuild,1
flink-statefun:@project.version@,1
openjdk:11-jre-stretch,1
openjdk:8u131-jdk-alpine,1
elasticsearch:2.3,1
kennedyoliveira/java8,1
registry.cn-hangzhou.aliyuncs.com/kennylee/maven,1
ruby:2.6.2-alpine3.9,1
${BASE}:${TAG},1
prom/prometheus:v2.3.1,1
dxia2/scratch-private:latest,1
maven:3.5.4-jdk-8-alpine,1
openjdk:14-ea-12-jdk-alpine3.10,1
openjdk:11.0.5-jre-slim-buster,1
openjdk:8-stretch,1
debian:buster-slim,1
anapsix/alpine-java:8_jdk_nashorn,1
maven:3.5.4-jdk-11,1
maven:3.5.0-jdk-8-alpine,1
openjdk:8u212-jdk,1
hawkbit/hawkbit-update-server:0.2.3,1
adoptopenjdk/openjdk11:jre-11.0.6_10-alpine,1
${BASE_RABBITMQ_LDAP}:${TAG},1
postgres:9.6.3,1
fabric8/java-centos-openjdk8-jdk:1.5.1,1
iron/python:2-dev,1
selenium/standalone-chrome-debug,1
${BASE_LDAP}:${TAG},1
python:2-onbuild,1
openjdk:11.0.1-jre-slim-stretch,1
consol/tomcat-7.0:latest,1
moditect/vertx-helloworld-base,1
nginx:1.13.3-alpine,1
taobeier/openjdk,1
docker.elastic.co/kibana/kibana:${ELK_VERSION},1
continuumio/miniconda,1
rabbitmq:3.8-alpine,1
vmware/photon-closure-runner_nodejs_base:2.0,1
java:openjdk-7-jdk,1
submarinehub/mysql:5.7.27,1
debian:stretch,1
boxfuse/flyway:5.2.4-alpine,1
canal/osbase:v2,1
tomcat:8.5.38-alpine,1
openjdk:11.0.2-jdk,1
buildpack-deps:bionic,1
node:12.16.3-alpine,1
fuhai/jpress-base:v1.4,1
tfennelly/tomcat7,1
jetty:jre8-alpine,1
telegraf:1.2-alpine,1
tomcat:alpine,1
sonarqube:6.7-alpine,1
confluentinc/cp-schema-registry:4.1.2,1
java:openjdk-8u92-jdk-alpine,1
tomcat:9-jre8-alpine,1
debian:7,1
hawkbit/hawkbit-update-server:0.3.0M2,1
openweb/oracle-tomcat:8-jre8,1
alpine:3.6,1
openjdk:11-jdk-slim-buster,1
apache/ozone-build,1
confluentinc/cp-kafka-connect:3.2.0,1
klokantech/tileserver-gl,1
azul/zulu-openjdk:8u162,1
maven:3.6.1-amazoncorretto-8,1
hello-world,1
tomcat:9-alpine,1
denvazh/gatling:3.2.1,1
mcr.microsoft.com/dotnet/core/aspnet:3.1-buster-slim,1
dockerhub.braintree.tools/bt/java:8,1
phusion/baseimage:0.9.8,1
openjdk:8u171-jdk-alpine,1
maven:3-jdk-8-slim,1
dockerfile/java:oracle-java8,1
maven:3.5-jdk-11,1
library/postgres:11,1
hub.c.163.com/library/java:8u111,1
busybox:bogustag,1
java:8u45-jre,1
tomcat:9.0.20-jre11-slim,1
morunchang/fastdfs,1
nginx:mainline,1
jenkinsci/jnlp-slave:3.27-1,1
0xacab.org:4567/leap/docker/debian:stretch_amd64,1
sickp/alpine-sshd:7.5-r2,1
mysql:8,1
ubuntu:18.10,1
envoyproxy/envoy:v1.7.0,1
php:7.2-fpm,1
registry.cn-hangzhou.aliyuncs.com/kennylee/gradle-node:v5.4.1-v12,1
hawkbit/hawkbit-update-server:0.2.0M9,1
registry.access.redhat.com/ubi8/ubi-minimal:8.1-398,1
index.alauda.cn/linzhiqiang/centos6,1
jupyter/datascience-notebook:latest,1
gradle:5.5.1-jdk8,1
tomcat:9-jre11,1
alpine:3.5,1
tomcat:9-jdk11-openjdk-slim,1
node:6.9.1,1
openjdk:8u151-jdk-alpine,1
docker:17.06-rc,1
nginx:stable,1
orienteer/orienteer:latest,1
openshift/wildfly-101-centos7,1
openjdk:8u181-jre-alpine,1
jetty:9.2.11-jre7,1
hurence/spark:2.3.3,1
registry.cn-shanghai.aliyuncs.com/ngtesting/ngtesting-postgres-base:2.0.0,1
${TEST_CHROME_IMAGE},1
centos:centos7.6.1810,1
iotacafe/maven:3.5.4.oracle8u181.1.webupd8.1.1-1@sha256:5e30eb28d778a65af2498bf1b7ef594adf046d44a8e4f7b32b326d8d10626e93,1
mongo:4.0-xenial,1
microsoft/mssql-server-windows-express:2016-sp1-windowsservercore-10.0.14393.693,1
golang:1.14,1
mrrm/web.go,1
hawkbit/hawkbit-update-server:0.3.0M3,1
jenkins/jenkins:lts,1
builder,1
docker:1.12.1-dind,1
kibana:4.5.3,1
docker.io/hyperledger/fabric-orderer:x86_64-1.0.6,1
hawkbit/hawkbit-update-server:0.2.5,1
postgres:9.6,1
adoptopenjdk/openjdk8:jre8u252-b09-alpine,1
adoptopenjdk/openjdk8:alpine-jre,1
k0kubun/ruby:2.6.1,1
elasticsearch:5.1.1,1
maven:3.6.0-jdk-8-alpine,1
@docker.base.image@,1
openjdk:8u171-jre,1
frolvlad/alpine-java,1
hub.c.163.com/xbingo/jdk8:latest,1
microsoft/mssql-server-linux,1
openresty/openresty:trusty,1
jerverless:latest,1
tomcat:9-jdk11,1
maven:3-jdk-11,1
node:8.12.0,1
hawkbit/hawkbit-update-server:0.2.1,1
postgres:10.3,1
docker.io/library/node:6.11.3,1
awsdeeplearningteam/multi-model-server:base-cpu-py3.6,1
jeanblanchard/java:8,1
maven:3.5.3-jdk-8-slim,1
dexterbt1/kestrel,1
openjdk:7-jre-alpine,1
redis:2.6.17,1
maven:3.5.2-jdk-8-slim,1
nginx:1.12-alpine,1
ubuntu:precise,1
tinkerpop/gremlin-server:3.4.2,1
registry.access.redhat.com/ubi7/ubi:latest,1
spotify/alpine:latest,1
websphere-liberty:latest,1
mysql,1
vmware/photon-closure-runner_powershell_base:2.0,1
node:8.16.1-alpine,1
fedora:28,1
alpine:edge,1
docker.elastic.co/beats/filebeat:6.3.1,1
alpine:3.11.5,1
jboss/wildfly,1
openjdk:12.0.1-jdk-oraclelinux7,1
maven:${MAVEN_VERSION},1
vmware/photon-closure-runner_java_base:2.0,1
python:2-slim,1
primetoninc/jdk:1.8,1
redis:3.2,1
quay.io/openshift/origin-jenkins-agent-maven:v4.0,1
jrottenberg/ffmpeg:4.2-ubuntu,1
ubuntu:xenial-20191024,1
node:7.10,1
node:10.16.1-alpine,1
flink:1.10.0-scala_2.11,1
nginx:1.15.10-alpine,1
postgres:10.0-alpine,1
adoptopenjdk:8u222-b10-jdk-hotspot,1
maven:3.5.2-jdk-8,1
jetty:9.2.12-jre7,1
jboss/wildfly:8.2.0.Final,1
golang:1.13-alpine,1
openjdk:8u201-jdk-alpine3.9,1
nginx:1.10.3,1
grafana/grafana:4.4.3,1
appengine-mvn-opensource:latest,1
ppc64le/centos:centos7,1
hawkbit/hawkbit-update-server:0.2.2,1
php:apache,1
enmasseproject/activemq-artemis:2.2.0-1,1
node:10,1
centos/wildfly,1
node:8.4.0-alpine,1
nvidia/cuda:9.2-cudnn7-runtime-ubuntu18.04,1
openjdk:11-slim,1
oracle/fmw-infrastructure:12.2.1.3,1
openjdk:8u151-jdk-alpine3.7,1
nginx:1.19,1
hub.c.163.com/library/redis:latest,1
google/cadvisor:v0.26.1,1
scylladb/scylla,1
kristophjunge/test-saml-idp:1.14.15,1
maven:3.5.3-jdk-8-alpine,1
vmware/admiral-base,1
hawkbit/hawkbit-update-server:0.3.0M4,1
tomcat:8.5.42-jdk8-openjdk,1
nginx:1.14.0-alpine,1
grafana/grafana:6.7.3,1
b1u3r/trackray:3.2.0,1
maven:3-ibmjava-8-alpine,1
circleci/node:8,1
kibana:5.1.1,1
${BASE_RABBITMQ}:${TAG},1
postgres:8,1
nginx:1.11.1-alpine,1
hub.c.163.com/library/mysql:5.6,1
java:openjdk-8u45-jdk,1
maven:3.6-jdk-8,1
docker.elastic.co/apm/apm-server:${ELK_VERSION},1
java:openjdk-8u66-jdk,1
maven:3-jdk-8-onbuild,1
nvidia/cuda:9.0-devel-centos6,1
codice/ddf-base:${docker.ddf.base.version},1
nvidia/cuda:${cuda_version}-cudnn${cudnn_version}-devel,1
linagora/linshare-backend:2.3.2,1
walmartlabs/concord-ansible:$concord_version,1
mysql:5.7.13,1
universa/node,1
vespaengine/vespa,1
azul/zulu-openjdk-alpine:11-jre,1
dekstroza/openjdk9-alpine,1
node:5,1
registry.cn-shanghai.aliyuncs.com/ngtesting/ngtesting-web-base:2.0.0,1
photon:2.0-20190511,1
fhuz/docker-storm:latest,1
iotacafe/java:oracle8u181.1.webupd8.1-1@sha256:21b0fb1e5b5be7cd239a742238f346e076a46dc0003670cd50f079780288773f,1
solidnerd/rainloop:1.10.5.192,1
jenkins:1.651.3,1
adoptopenjdk/openjdk11:${adoptopenjdk11.image.version},1
maven:3.3-jdk-8,1
jenkinsci/slave,1
openjdk:8u252-jre-slim-buster,1
lachlanevenson/k8s-kubectl:v1.11.0,1
openjdk:8u212-jre-slim,1
blobcity/java8-ubuntu,1
mariadb:10.4,1
openjdk:11.0.7-jre-slim,1
debezium/connect:0.7,1
prom/prometheus:v2.4.2,1
resin/rpi-raspbian:stretch,1
redis,1
adoptopenjdk/openjdk8:alpine-slim,1
openliberty/open-liberty:microProfile1-java8-openj9,1
postgres:9.4,1
azul/zulu-openjdk-alpine:11.0.6,1
jboss/keycloak:7.0.1,1
l.gcr.io/google/bazel:latest,1
adoptopenjdk/openjdk13-openj9:jdk-13.0.2_8_openj9-0.18.0-alpine-slim,1
ubuntu:20.04,1
node:8.11.4,1
broadinstitute/gatk:gatkbase-2.3.0,1
mongo:4.1,1
fabric8/java-jboss-openjdk8-jdk:1.0.13,1
openjdk:8u121-jre-alpine,1
jotschi/protractor,1
redis:5.0-alpine,1
locustio/locust,1
centos:centos6,1
jenkinsci/workflow-demo:2017-06-15,1
tomcat:8.0-jre8,1
gliderlabs/logspout:master,1
anapsix/alpine-java:latest,1
hapiproject/hapi:base,1
private-registry.sohucs.com/sohucs/tomcat:8.0.24-jdk7,1
node:10.20.0-alpine3.11,1
apache/ozone-runner:@docker.ozone-runner.version@,1
maven:3.6.3-openjdk-8-slim,1
hub.c.163.com/library/java:latest,1
confluentinc/cp-kafka:3.0.0,1
${IMAGE_NAME}:${IMAGE_VERSION},1
mapfish_print_builder,1
oraclelinux:7-slim,1
node,1
docker-java-onbuild,1
ubuntu@sha256:de0090e770183eaa19f47984af93a3df02a5112f1eb71fb6a16b20ef6770156f,1
postgres:9.6.15,1
azul/zulu-openjdk:11,1
alpine:3.10.2,1
catatnight/postfix,1
nginx:1.7.9,1
httpd,1
docker.elastic.co/elasticsearch/elasticsearch:6.3.1,1
nimmis/java:oracle-8-jdk,1
grafana/grafana:4.3.1,1
umple/umpleonline-base:latest,1
maven:3.3.1-jdk-8,1
debian:latest,1
mesosphere/mesos-slave:1.7.1,1
jenkins/jenkins:lts-alpine,1
debian:stable-slim,1
rundeck/rundeck:3.0.17,1
jenkins/jenkins:$jenkins_tag,1
jpetazzo/dind,1
