base_image,versions
nginx,"['1.17-alpine' '1.17-alpine' 'stable' '' '' '1.17-alpine' 'alpine'
 'alpine' '1.10.3-alpine' '1.15.10-alpine' '' '' '' '1.7.9' 'latest' ''
 'alpine' '1.19' '' 'mainline' '1.10.3' '1.14.0-alpine' '' ''
 '1.12-alpine' '1.11.1-alpine' '1.13.3-alpine' '1.9.10' '1.9.10'
 '1.13.12-alpine']"
node,"['10' '10' '10.16.1-alpine' '9-alpine' '9.11.2-alpine' 'alpine' 'alpine'
 '13.0.0-alpine' '13.0.0-alpine' 'boron' '12.16.3-alpine3.11'
 '12.16.3-alpine3.11' '12.16.3-alpine' '10.20.1-alpine3.11'
 '10.20.0-alpine3.11' '12.16.3-alpine3.11' 'latest' '8.0.0' 'latest' '12'
 '6.10.1' 'latest' '8.4.0-alpine' '8.12.0' '4-onbuild' '8.16.1-alpine' ''
 '14' '5' '6.9.1' '6.5.0' '7.10' '8-alpine' '8.11.4' '8-onbuild'
 '8-alpine' '8-onbuild' '8-alpine' '12-alpine' '9.11.1-alpine'
 '9.11.1-alpine' '9.11.1-alpine' '12-alpine' '12-alpine' 'latest']"
ubuntu,"['16.04' '16.04' '' '' '16.10' '14.04' '14.04' '18.04' 'bionic' 'bionic'
 'bionic' '16.04' '18.04' '16.04' '18.04' '16.04' '18.04' '16.04' '16.04'
 '16.04' '16.04' '16.04' '16.04' '16.04' '16.04' '16.04' '18.04' '16.04'
 '18.04' '16.04' '18.04' '16.04' 'xenial-20191024' 'bionic' 'bionic'
 'trusty' '' '18.04' '14.04' 'bionic' 'trusty' '18.04' '18.04' '18.04'
 'trusty' 'latest' '18.04' '18.04' '12.04' '16.04' '16.04' '18.04' '16.04'
 '19.10' '19.10' '18.04' '14.04' '14.04' '20.04' '16.10' '14.04' 'xenial'
 '18.04' '18.04' '18.04' 'bionic' '18.04' '18.04' '' '14.04' '14.04'
 '14.04' 'trusty' 'rolling' '18.04' '18.04' '18.10' '14.04' '14.04'
 '14.04' '14.04' '14.04' '14.04' 'xenial' '14.04' '16.04' '16.04' '14.04'
 '12.04' '14.04' '14.04' '14.04' '18.04' '16.04' '16.04' '' '' '' '' '' ''
 '' '16.04' '' '18.04' '' 'xenial' 'trusty' 'trusty' 'latest' 'xenial'
 'xenial' 'xenial' 'precise' '18.04' '14.04' '14.04' '16.04' 'xenial'
 '16.04' '16.04' '14.04' '16.04' '18.04' '18.04' '18.04' 'xenial']"
java,"['8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre'
 '8' '8' '8-jre-alpine' 'alpine' 'alpine' 'alpine' 'alpine' 'alpine'
 'alpine' 'alpine' 'alpine' 'alpine' '8' '8-jre' '8' '8' '' ''
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8' '8' '8'
 '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' 'latest' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8' '8'
 'openjdk-8-jre' '8' '8' '8' '8' '8' '8' '8' '8-jdk' '8-jdk' '8-jdk'
 '8-jdk' '8-jdk' '8-jdk' '8-jdk' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre'
 '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8' '8' '8' '7' '8' '8'
 '8u111-jdk' '8u111-jdk' '' '' '' '' '' '' 'jre-alpine' '8-jdk-alpine'
 '8-jdk' 'openjdk-8u111-alpine' 'openjdk-8u111-alpine'
 'openjdk-8u111-alpine' 'openjdk-8u111-alpine' 'openjdk-8u111-alpine'
 'openjdk-8u111-alpine' '8' '7' '7' '8' '8' '8' '8' '8-jdk'
 'openjdk-8u111-alpine' 'openjdk-8u111-alpine' 'openjdk-8u111-alpine' '7'
 '8-jdk-alpine' '8' '7' '7' '7' '7' '7' 'openjdk-7-jdk' '8' '8' '8'
 'openjdk-8u111-alpine' 'openjdk-8u111-alpine' 'openjdk-8u111-alpine'
 'latest' '8' '8' '8' '8' 'openjdk-8u91-jdk' 'openjdk-8u91-jdk'
 'openjdk-8u91-jdk' '8' '8' '8-jre' '8-jre' '8-jre' '8-jre' '8' '8' '8'
 '8' '8' '8' '8' '8' '8' '8' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk' '8-jdk-alpine' '8-jdk-alpine' '8' '8' '8-jre' '8-jre' '8-jre'
 '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre'
 '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre'
 '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre'
 '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8'
 'openjdk-8u91-jdk' 'openjdk-8u91-jdk' '8-jdk' '8-jdk' '8-jdk' '8-jdk'
 '8-jdk' '8-jre' '8' '8' '8-jdk' '8' '8' '8' '8' '8'
 'openjdk-8u111-alpine' 'openjdk-8u111-alpine' 'openjdk-8u111-alpine' '8'
 '8-jre' '8' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' 'openjdk-8u45-jdk' '8-jre' '8-jre' '8-jre'
 'latest' '8' '8' '8' '8' '8' '8-jre' '8-jre' '8' '8' '8' '8' '8' '8' '8'
 '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' '8' '8-alpine'
 '8-alpine' '8-jre-alpine' '8' '8' '8' '8' '8' '8'
 'openjdk-8u92-jdk-alpine' '8-jre' '8-jre' '8' '8' '8-jre-alpine' '' '8'
 '7' '7' '7' '8u45-jre' '8-jre-alpine' '8-jre-alpine' '8-jre' ''
 'openjdk-8u66-jdk' '8' '8' '8' '8' '8' '8' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jdk-alpine']"
mongo,['3' '3' '4.1' '4.0-xenial']
library/postgres,['11' '11']
grafana/grafana,['4.4.3' '4.4.3' '5.2.4' '4.3.1' '6.7.3']
google/cadvisor,['v0.26.1' 'v0.26.1']
jboss/base-jdk,['8' '8' '8' '8' '8']
mariadb,['10.3.3' '10.3.3' '10.4']
ruby,"['2.5-alpine' '2.5-alpine' '2.5-alpine' '2.3.1' '2.6.3' '2.3' '2.3.0'
 '2.3.1' '2.6.2-alpine3.9']"
python,"['2-alpine' '2-alpine' '3-alpine' '2-alpine' '3-alpine' '3-alpine'
 '2.7.16-alpine3.9' '2-slim' '3.7-alpine' '3.7.3-slim-stretch' '2.7'
 '3.8.3-alpine3.11' '3' 'alpine3.10' '3' '3.7-alpine' '3.7-alpine' '2.7'
 '2-onbuild']"
golang,"['1.10' '1.10' '1.10' '1.10' '1.10' '1.14-alpine' '1.13.7-alpine3.11'
 '1.13.7-alpine3.11' 'latest' '1.13-alpine' '1.11' '1.9.1-alpine3.6'
 '1.6.1-alpine' '1.14']"
mcr.microsoft.com/dotnet/core/aspnet,"['3.0-buster-slim' '3.0-buster-slim' '3.1-buster-slim' '2.2'
 '3.0-buster-slim']"
mcr.microsoft.com/dotnet/core/sdk,['3.0-buster' '3.0-buster' '3.1-buster' '2.2' '3.0-buster']
build,['' '' '' '']
base,['' '' '' '' '' '']
frolvlad/alpine-oraclejdk8,"['slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim'
 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' '' '' '' 'slim'
 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim'
 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim' 'slim']"
jimschubert/8-jdk-alpine-mvn,['1.0' '1.0']
buildpack-deps,['bionic' 'bionic' 'bionic-scm']
lucida_base,['' '' '' '' '']
redis,['2.6.17' '2.6.17' '' '3.2' '5.0-alpine']
postgres,['' '' '' '10.3' '12.2' '9.4' '9.6' '10.0-alpine' '9.6.3' '9.6.15' '8']
microsoft/mssql-server-linux,['' '']
adoptopenjdk/openjdk11,"['alpine-jre' 'alpine-jre' 'alpine-jre' 'alpine-jre' 'alpine-jre'
 'alpine-jre' 'alpine-jre' 'alpine-jre' 'jre-11.0.6_10-alpine'
 'x86_64-alpine-jre-11.0.5_10' 'x86_64-alpine-jre-11.0.5_10' 'alpine-jre'
 'alpine-jre' 'alpine-jre' 'alpine-jre' '${adoptopenjdk11.image.version}'
 'jdk-11.0.4_11-alpine' 'jdk-11.0.4_11-alpine' 'jdk-11.0.4_11-alpine'
 'jre-11.0.5_10-alpine']"
anapsix/alpine-java,"['8_server-jre_unlimited' '8_server-jre_unlimited'
 '8_server-jre_unlimited' '8_server-jre_unlimited'
 '8_server-jre_unlimited' '8_server-jre_unlimited'
 '8_server-jre_unlimited' '8_server-jre_unlimited'
 '8_server-jre_unlimited' '8' '8_jdk' '8_jdk' '8_jdk' '8_jdk' '8_jdk'
 '8_jdk' '8_jdk' '8_jdk' '8_jdk' '8_jdk' '8_jdk' '8_server-jre_unlimited'
 '8_server-jre_unlimited' 'latest' '8_jdk_nashorn'
 '8_server-jre_unlimited' '8_server-jre_unlimited'
 '8_server-jre_unlimited' '8_server-jre_unlimited' '8_jdk' '8']"
circleci/node,['latest-browsers' 'latest-browsers' '8' 'latest-browsers']
vertx/vertx3,['' '' '' '' '' '' '' '' '' '' '' '']
fabric8/java-alpine-openjdk8-jre,['' '' '' '' '' '' '' '' '' '' '' '']
locustio/locust,['' '']
gcr.io/distroless/java,['11' '11' '11' '11' '11' '11' '11' '11' '11' '11' '11' '8' '11']
centos/wildfly,['' '']
busybox,"['' '' 'latest' 'latest' 'latest' 'latest' 'latest' 'latest' 'latest'
 'latest' 'latest' 'latest' 'latest' 'latest' 'latest' 'latest' 'latest'
 'latest' 'latest' 'latest' 'latest' 'latest' 'latest' 'latest' 'latest'
 'latest' 'latest' 'latest' 'latest' '' '' '' '' '' '' '' '' 'bogustag' ''
 '' 'latest']"
